,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure
3969,Provoked,harpooned,Not Determined,27,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",N,9999,15',19200627,"CANADA Halifax Slaunwhite's Ledge, Hubbard Cove",44.629875,-64.05898479999999,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3970,Unprovoked,swimming,M,20,"Tossed in air by shark, sustained abrasions",N,9999,Not Determined,19200308,"AUSTRALIA Queensland Between Bay Rock & Magnetic Island, Cleveland Bay",-19.2180556,146.9222222,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3971,Unprovoked,floating,F,18,Abdomen bitten,N,1730,Not Determined,19200203,SOUTH AFRICA Eastern Cape Province Zwartkops River,-33.8602615,25.6199132,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3972,Unprovoked,swimming,M,12,Leg bitten. FATAL,Y,1000,Not Determined,19200115,"AUSTRALIA New South Wales Throsby Creek, Newcastle",-32.9119099,151.7504482,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3973,Unprovoked,overboard,M,27,FATAL,Y,9999,Not Determined,19875253,JAMAICA Westmoreland Parish Savanna-la-Mar,18.2291677,-78.1393397,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3974,Unprovoked,no activity,F,27,"""Recovered""",N,9999,Not Determined,19875253,"NEW ZEALAND North Island Stanley Bay, Auckland Harbor",-36.8297375,174.7805097,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3975,Unprovoked,splashing,M,12,Thigh & buttocks bitten. Not known if he survived.,N,9999,Not Determined,19875253,SOUTH AFRICA KwaZulu-Natal Tugela River,-28.7644545,30.1693668,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3976,Unprovoked,swimming,M,47,"FATAL, left leg & calf bitten, leg surgically amputated ",Y,0530,Not Determined,19191207,"AUSTRALIA New South Wales Pelican Island, Macleay River",-30.9314059,153.0331545,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3977,Unprovoked,sitting,M,27,Lacerations to buttocks,N,9999,Not Determined,19191118,AUSTRALIA Northern Territory Darwin,-12.4637333,130.8444446,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3978,Unprovoked,capsized,M,27,"FATAL, 6 men were taken by sharks as they neared the beach, 1 survived",Y,9999,Not Determined,19190912,COSTA RICA Turtle Bogue Where Colorado River enters the sea,10.7177069,-83.6515331,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3979,Unprovoked,swimming,M,27,Laceration to left thigh,N,1800,Not Determined,19190810,"USA Florida Gadsden Point, Tampa Bay",27.8222481,-82.4731503,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3980,Unprovoked,"""swimming",M,27,Left foot bitten & abraded,N,1200,Not Determined,19190529,"USA South Carolina James Island Sound, Charleston",32.727355,-79.9677092,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3981,Unprovoked,knocked,M,27,FATAL,Y,9999,"3.7 m [12'], 1200-lb shark. Shark caught & its jaw exhibited at the Carnegie Museum",19190406,"USA Florida Florida Keys 25ÂºN,82ÂºW",25.0273356,-81.5357506,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3982,Unprovoked,swimming,M,27,"Multiple injuries, left leg surgically amputated at knee",N,1715,3.7 m to 4.3 m [12' to 14']  shark,19190117,AUSTRALIA New South Wales Newcastle Beach,-32.9310039,151.7857155,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3983,Unprovoked,swimming,F,27,Leg bitten,N,1800,Not Determined,19190115,"NEW ZEALAND South Island Tahuna Beach, Nelson",-41.2785932,173.2392251,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3984,Unprovoked,wading,M,13,"FATAL, right thigh bitten ",Y,0730,12' shark,19190109,"AUSTRALIA New South Wales Sirius Cove, Sydney Harbor",-33.8426824,151.235563,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3985,Unprovoked,wading,M,38,"FATAL, thigh bitten, leg amputated ",Y,1000,Not Determined,19190105,"AUSTRALIA Queensland Ross River, Townsville",-19.4006854,146.7329811,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3986,Unprovoked,swimming,F,27,Leg severed,N,9999,Not Determined,19875253,"USA Florida Near Panama City, Bay County",30.1588129,-85.6602058,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3987,Unprovoked,fishing,M,27,FATAL,Y,9999,Not Determined,19875253,USA Hawaii Papaikou plantation ,19.7878627,-155.1098396,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3988,Unprovoked,bathing,M,22,FATAL,Y,9999,Not Determined,19180919,AUSTRALIA Queensland Townsville,-19.2589635,146.8169483,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3989,Unprovoked,surfing,M,27,"Severe laceration to arm, necessitating surgical amputation at the elbow",N,1800,12' shark,19180322,AUSTRALIA New South Wales Newcastle,-32.9282712,151.7816802,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3990,Unprovoked,diving,M,27,Survived,N,9999,Not Determined,19875253,AUSTRALIA Queensland Near Cairns,-16.9203476,145.7709529,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3991,Unprovoked,swimming,M,27,Lacerations to left leg,N,0500,Not Determined,19171215,AUSTRALIA Western Australia Port Hedland,-20.3123929,118.6093685,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3992,Unprovoked,0,M,27,FATAL,Y,1500,Not Determined,19875253,MOZAMBIQUE Maputo Province Off Inhaca Island,-26.0235002,32.9550349,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3993,Unprovoked,towing,M,27,Left knee lacerated,N,9999,Not Determined,19170921,"USA New Jersey Sea Bright, Monmouth County",40.3614987,-73.9740262,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3994,Unprovoked,diving,M,27,FATAL,Y,1800,Not Determined,19170718,USA Florida Florida Keys ,25.0273356,-81.5357506,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3995,Unprovoked,swimming,M,27,Right arm bitten,N,9999,Not Determined,19170603,USA South Carolina Calibogue Sound,32.097642,-80.83777889999999,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
