,Date,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude
2827,13-Feb-1994,Provoked,fishing,M,,Arm bitten while trying to secure shark caught by navy personnel from vessel PROVOKED INCIDENT,N,1700,Not Determined,19940213,USA Hawaii Kailua Bay,21.4106838,-157.7347735
2828,12-Feb-1994,Unprovoked,surfing,M,15,Leg bitten ,N,1630,3 m [10'] white shark,19940212,SOUTH AFRICA Eastern Cape Province Beachview Holiday Resort,-34.0021699,25.3268943
2829,Feb-1994,Unprovoked,fishing,Not Determined,,"FATAL, right foot severed",Y,9999,Not Determined,19940200,NEW CALEDONIA South Province Cap Goulvain,-21.7482006,166.1783739
2830,31-Jan-1994,Unprovoked,swimming,M,,Right leg bitten,N,9999,Not Determined,19940131,BRAZIL Pernambuco Piedade,-8.1801557,-34.9203383
2831,31-Jan-1994,Unprovoked,surfing,M,,FATAL,Y,9999,Tiger shark,19940131,"USA Hawaii Velzyland, north shore of O'ahu",21.6846128,-158.0313241
2832,30-Jan-1994,Unprovoked,windsurfing,M,44,Calf bitten,N,1330,Not Determined,19940130,"SOUTH AFRICA Eastern Cape Province Nahoon Beach, East London",-32.9859684,27.9446709
2834,09-Jan-1994,Unprovoked,falling,M,23,Hamstring bitten,N,9999,1.5 m shark,19940109,"AUSTRALIA Queensland Katana Downs Reach, Brisbane River",0.0,0.0
2835,03-Jan-1994,Unprovoked,swimming,M,33,Foot bitten,N,1615,"1.3 m [4'3""] shark",19940103,SOUTH AFRICA KwaZulu-Natal Hibberdene,-30.571879,30.5724824
2837,1994,Unprovoked,surfing,M,,Left foot bitten,N,9999,Blacktip shark,19940000,"USA Florida Flagler Beach, Flagler County",29.4749754,-81.1270035
2838,Dec-1993,Unprovoked,surfing,M,,FATAL,Y,9999,"On 11-Jan-1994, his remains washed ashore. A 2.4 m [8'] tiger shark thought to be involved",19931200,USA Hawaii Waipo,21.414311,-157.9955852
2839,28-Nov-1993,Unprovoked,swimming,M,30,"""Minor cuts to left leg""",N,9999,Not Determined,19931128,"USA Florida North Beach Jetty, St Lucie County",27.4698041,-80.2915513
2840,21-Nov-1993,Unprovoked,diving,M,27,FATAL,Y,1515,Tiger shark caught 6 days later with divers remains in its gut,19931121,AUSTRALIA Western Australia  A pearl  farm in Roebuck Bay,-16.4519728,123.0091452
2841,12-Nov-1993,Unprovoked,,M,,Left leg severely bitten,N,1055,Not Determined,19931112,"USA Hawaii Horners, Wailua, Kaua'i",22.0423824,-159.3355376
2842,Nov-1993,Unprovoked,stamding,M,,FATAL,Y,9999,Not Determined,19931100,SOMALIA Banaadir Region Mogadishu,2.0469343,45.3181623
2843,30-Oct-1993,Unprovoked,surfing,M,26,Serious injury to left leg,N,1630,4 m to 5 m [13' to 16.5'] white shark,19931030,"USA California ""Bunkers"" Eureka, Humboldt County",40.7195153,-124.242601
2844,26-Oct-1993,Unprovoked,swimming,F,26,Thigh & hand lacerated,N,1000,3 m [10'] bull shark,19931026,"USA Florida Treasure Shores Beach, Indian River County",27.7984897,-80.41626649999999
2846,Oct-1993,Unprovoked,surfing,Not Determined,,Serious leg wounds,N,9999,Tiger shark,19931000,"USA Hawaii Mouth of Wallua River, Kaua'i",22.0483333,-159.3391667
2847,30-Sep-1993,Unprovoked,swimming,M,21,FATAL,Y,9999,Not Determined,19930930,SOMALIA Banaadir Region Mogadishu,2.0469343,45.3181623
2848,26-Sep-1993,Unprovoked,spearfishing,M,36,Calf lacerated,N,1130,3 m [10'] white shark,19930926,SOUTH AFRICA Western Cape Province Danger Point,-34.6318431,19.300122
2849,16-Sep-1993,Unprovoked,surfing,Not Determined,15,Left leg gashed,N,9999,3.7 m [12'] white shark,19930916,EL SALVADOR La Libertad near El Cocal Beach,13.4862917,-89.3480917
2850,16-Sep-1993,Unprovoked,surfing,M,17,"FATAL, arms & legs bitten, then drowned ",Y,9999,Not Determined,19930916,EL SALVADOR La Libertad El Cocal Beach,13.4862917,-89.3480917
2851,14-Sep-1993,Unprovoked,wading,M,19,Left foot bitten,N,9999,3' shark,19930914,"USA Florida Huguenot Memorial Park, Duval County",30.4110088,-81.4204882
2852,09-Sep-1993,Unprovoked,no activity,M,16,Left foot bitten,N,9999,Not Determined,19930909,"USA Florida Little Talbot Island, Jacksonville, Duval County",30.4566285,-81.4167538
2853,03-Sep-1993,Unprovoked,swimming,M,69,"Thigh bitten, toes of left foot severed",N,0800,1.2 m [4'] shark,19930903,"SPAIN Costa Blanca Playa de las Arenas, Valencia ",39.4646488,-0.3213176
2854,21-Aug-1993,Unprovoked,spearfishing,M,51,Leg bitten,N,1715,1.8 m [6'] blacktip shark or Caribbean reef shark,19930821,"BAHAMAS Walkers Cay Matinella Reef, 15 to 20 miles west of Walkers Cay",27.2599407,-78.4034188
2856, 19-Aug-1993,Unprovoked,,M,,Abrasions & board bitten,N,0705,Not Determined,19930819,"USA Hawaii Paukukalo, Maui",20.9086111,-156.4877778
2858,15-Aug-1993,Unprovoked,riding,F,19,Severe lacerations to abdomen & thighs,N,1000,Bull shark,19930815,USA North Carolina Pamlico Sound,35.3825787,-75.8533954
2860,12-Aug-1993,Unprovoked,diving,M,39,Severe bites to head & shoulder,N,1400,5.5 m to 6 m [18' to 20']  white shark,19930812,"USA California Abalone Point, Westport Union Landing, Mendocino County",39.677064,-123.7912254
2861,Aug-1993,Unprovoked,fishing,M,,FATAL,Y,9999,Not Determined,19930800,NEW CALEDONIA South Province Ile Moro,-22.6508542,167.3945242
2863,30-Jul-1993,Unprovoked,surfing,M,28,Puncture wounds on chest,N,1500,4 m [13'] white shark,19930730,"SOUTH AFRICA Eastern Cape Province Pollock Beach, Port Elizabeth",-33.9879779,25.6702004
2864,07-Jul-1993,Unprovoked,playing,F,12,Right knee bitten,N,1812,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",19930707,"USA Florida Daytona Beach, Volusia County",29.2108147,-81.0228331
2865,30-Jun-1993,Unprovoked,swimming,M,,FATAL,Y,9999,Not Determined,19930630,"BRAZIL Pernambuco Boa Viagem, Recife",-8.1317303,-34.902409
2866,29-Jun-1993,Unprovoked,boarding,M,16,Note: see 1992.06.28,N,9999,Not Determined,19930629,REUNION Saint-Paul Cap de la Marianne,-21.0166998,55.2548399
2867,11-Jun-1993,Unprovoked,swimming,M,61,FATAL,Y,0715,Not Determined,19930611,HONG KONG New Territories Silverstrand,22.3226193,114.2722513
2868,11-Jun-1993,Unprovoked,diving,F,42,FATAL,Y,1930,Not Determined,19930611,"MEXICO Quintana Roo Santa Rosa Shallows, Cozumel",20.4229839,-86.9223432
2869,10-Jun-1993,Unprovoked,paddling,M,22,Feet & ankles bitten,N,0710,Thought to involve a tiger shark,19930610,"USA Hawaii Goats Island (Mokuauia Island), Malaekahana State Recreation Area, Laie, O'ahu",0.0,0.0
2870,09-Jun-1993,Unprovoked,diving,M,31,FATAL,Y,0930,Remains recovered from 5.5 m [18'] white shark,19930609,"AUSTRALIA New South Wales Julian Rocks, Byron Bay",-28.6113488,153.629085
2871,05-Jun-1993,Unprovoked,diving,F,34,FATAL,Y,1055,5 m [16.5'] white shark,19930605,AUSTRALIA Tasmania Tenth Island (King Island),-40.9422858,146.9848558
2872,01-Jun-1993,Unprovoked,swimming,M,42,FATAL,Y,9999,Not Determined,19930601,HONG KONG New Territories Sheung Sz Wan,22.3026421,114.2905552
2873,Jun-1993,Unprovoked,swimming,F,60,"No injury, bumped by shark",N,9999,6' shark,19930600,"USA North Carolina Hamstead, Pender County",34.3675936,-77.71054819999999
2874,Late May 1993,Unprovoked,no activity,F,,"Missing, believed taken by a shark",Y,9999,Not Determined,19930500,"HONG KONG On the Kowloon penisula, south of Sai Kung Silverstrand",22.3193039,114.1693611
2875,May 1993,Unprovoked,swimming,F,,FATAL,Y,9999,Not Determined,19930500,"SOMALIA Banaadir Region Arroyo Beach, Mogadishu",2.0346445,45.2993489
2877,27-Mar-1993,Unprovoked,surfing,M,,Survived,N,9999,Not Determined,19930327,BRAZIL Pernambuco Paiva,-8.2597418,-34.946528
2878,22-Mar-1993,Unprovoked,floating,M,25,Both feet lacerated,N,1600,Not Determined,19930322,"USA Florida Singer Island, Riviera Beach, Palm Beach County",26.767379,-80.0699693
2879,17-Mar-1993,Unprovoked,no activity,Not Determined,,Survived,N,9999,Possiby white shark,19930317,JAPAN Ehime Prefecture Iyo,33.7576929,132.7038611
2880,14-Mar-1993,Unprovoked,paddling,M,35,Lower legs lacerated ,N,1545,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",19930314,"USA Hawaii Paradise Bay (next to Wailua Bay), Maui",22.0422873,-159.3370131
2881,12-Mar-1993,Unprovoked,diving,M,55,"No injury, swim fin bitten",N,1430,White shark,19930312,"USA California Linda Mar Beach, Pedro Point, San Mateo County",37.5988889,-122.5019444
2882,Mar-1993,Unprovoked,swimming,Not Determined,,Hip bitten,N,9999,Not Determined,19930300,NEW CALEDONIA South Province Île de Casey,-22.578434,167.517638
2885,04-Feb 1993,Provoked,fishing,M,69,"Legs lacerated, puncture wound in hand from hooked shark hauled onboard PROVOKED INCIDENT",N,1345,"Bronze whaler shark, 1.5 m ",19930204,AUSTRALIA Queensland Mooloolaba,-26.6818215,153.11903
2886,23-Jan-1993,Unprovoked,boarding,M,15,Left leg bitten,N,9999,Not Determined,19930123,BRAZIL Pernambuco Piedade,-8.1801557,-34.9203383
2887,05-Jan-1993,Unprovoked,spearfishing,M,21,"6"" laceration to left forearm",N,0900,1.5 m shark,19930105,"AUSTRALIA Queensland Line Reef, northeast of Hamilton Island, Whitsundays",-20.3518817,148.9572514
2889,02-Jan-1993,Unprovoked,surfing,M,29,"No injury, shark bit board",N,1630,6 m [20'] white shark,19930102,"USA Oregon Bastendorf Beach, Coos County",43.34538879999999,-124.3484509
2891,Between May & Nov-1993,Unprovoked,no activity,Not Determined,,FATAL,Y,9999,Not Determined,19930000,SOMALIA Banaadir Region Mogadishu,2.0469343,45.3181623
2892,1993,Unprovoked,spearfishing,Not Determined,30,Left buttock and thigh bitten,N,9999,Not Determined,19930000,TONGA Vavau Between Ofu & Fafini Islands,0.0,0.0
2893,1993,Unprovoked,snorkeling,Not Determined,,Survived,N,9999,Lemon shark,19930000,"USA Florida Key West, Monroe County",24.5550593,-81.7799871
2894,28-Dec-1992,Unprovoked,standing,M,10,Right leg bruised & abraded,N,9999,"Tiger shark, 2.4 m [8']",19921228,"USA Hawaii Honomuni, Moloka'i",21.0846202,-156.7796444
2895,23-Dec-1992,Unprovoked,lying,M,30,"Minor lacerations to hand, 15"" crescent-shaped piece removed from surfboard",N,1730,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",19921223,"USA Hawaii Chun's Reef, Laniakea, O'ahu",21.6172053,-158.0873414
2896,29-Nov-1992,Unprovoked,spearfishing,M,31,10 puncture wounds to right calf,N,1530,"Mako shark, 1.8 m [6']  ",19921129,"USA California San Onofre, San Diego County ",33.3728077,-117.5656012
2897,25-Nov-1992,Unprovoked,surfing,M,19,Forearm  & hand bitten; tooth fragments of the shark were recovered from the surfer's hand,N,0730,6' to 7' blacktip shark,19921125,"USA Florida Brevard County, a mile north of Sebastian Inlet",27.85221,-80.44794999999999
2901,11-Nov-1992,Unprovoked,diving,M,40,Foot punctured,N,1400,Unidentified shark,19921111,"USA California San Nicholas Island, Santa Barbara County",33.2464523,-119.4991693
2902,06-Nov-1992,Unprovoked,surfing,M,17,Heel bitten,N,1415,Not Determined,19921105,"USA Florida North Jetty Park, Fort Pierce, St Lucie County",27.4698041,-80.2915513
2903,05-Nov-1992,Unprovoked,boarding,M,18,Right leg severely lacerated  FATAL,Y,0945,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",19921105,"USA Hawaii Kea'au Beach Park, O'ahu",21.4856911,-158.22995
2904,29-Oct-1992,Unprovoked,diving,M,40,Foot & swim fin punctured,N,1100,2.5 m [8.25'] white shark,19921029,"USA California Castle Rock, San Miguel Island, Santa Barbara County",34.0549957,-120.4370989
2905,22-Oct-1992,Unprovoked,surfing,M,28,"Chest & arm bruised & scratched, 15"" crescent-shaped piece removed from board",N,0740,"Tiger shark, 4.3 m [14'] ",19921022,"USA Hawaii Lanaikea, O'ahu",21.6172053,-158.0873414
2906,15-Oct-1992,Unprovoked,diving,M,,Minor injury while delivering pup of female shark caught in a net,N,9999,Grey nurse shark,19921015,AUSTRALIA New South Wales Avalon Beach,-33.6332741,151.3311538
2907,11-Oct-1992,Unprovoked,boarding,Not Determined,,Legs bitten,N,1800,Not Determined,19921011,"BRAZIL Maranhão Praia de São Marcus, Sáo Luiz",-2.4888839,-44.2872158
2908,01-Oct-1992,Unprovoked,surfing,M,28,FATAL,Y,1430,4.2 m white shark,19921001,"AUSTRALIA Queensland North Point Beach, Moreton Island",-27.0268631,153.4510621
2909,18-Sep-1992,Unprovoked,boarding,M,,Left leg severely bitten,N,1800,Not Determined,19920918,"BRAZIL Pernambuco Boa Viagem, Recife",-8.1317303,-34.902409
2910,13-Sep-1992,Unprovoked,surfing,M,20,Minor bruises,N,1700,4 m to 5 m [13' to 16.5']  white shark ,19920913,"USA Oregon Gold Beach, Curry County",42.4073334,-124.4217741
2911,11-Sep-1992,Unprovoked,standing,F,18,Right ankle & calf bitten,N,1500,Not Determined,19920911,"USA Florida South Jetty, New Smyrna Beach, Volusia County",29.06906,-80.91439299999999
2912,10-Sep-1992,Unprovoked,swimming,M,,FATAL,Y,9999,Not Determined,19920910,"BRAZIL Pernambuco Boa Viagem, Recife",-8.1317303,-34.902409
2913,Sep-1992,Unprovoked,fishing,M,,"Foot bitten, 8 stitches needed to repair the wound",N,9999,Not Determined,19920900,USA Florida St Lucie County,27.3225563,-80.54384499999999
2914,29-Aug-1992,Unprovoked,carrying,F,34,Left hand bitten,N,9999,1.8 m [6'] blacktip shark,19920829,BAHAMAS Abaco Islands Double Breasted Cays ,22.3083668,-75.7618593
2915,25-Aug-1992,Unprovoked,surfing,M,17,"Minor cuts, sufboard bitten",N,1750,4 m white shark,19920825,"AUSTRALIA South Australia Lipson Cove, Tumby Bay",-34.2592315,136.2625804
2917,18-Aug-1992,Unprovoked,surfing,M,22,"No injury, board bitten",N,1700,5.5 m to 6 m [18' to 20'] white shark,19920818,"USA California Klamath River, Del Norte County",41.7076287,-123.9659708
2918,17-Aug-1992,Provoked,snorkeling,M,26,"Grabbed metal leader to shark, shark clamped on  & bit  left bicep PROVOKED INCIDENT",N,9999,"Nurse shark, 3', 20-lb ",19920817,"USA Florida Manalapan, Palm Beach County",26.5692364,-80.0447635
2921,21-Jul-1992,Unprovoked,standing,F,42,Lacerations to left foot,N,1233,"""a small shark""",19920721,"USA Florida Manasota Beach, Sarasota County",26.9250629,-82.3606349
2922,08-Jul-1992,Unprovoked,surfing,M,,Arm bitten,N,9999,Not Determined,19920708,"BRAZIL Maranhão Praia da Marcela, São Marcos Bay",-2.4888839,-44.2872158
2923,08-Jul-1992,Unprovoked,surfing,M,,"Lower leg bitten, surgically amputated",N,0800,Not Determined,19920708,"BRAZIL Maranhão Praia da Marcela, São Marcos Bay",-2.4888839,-44.2872158
2924,28-Jun-1992,Unprovoked,swimming,M,,FATAL,Y,9999,Not Determined,19920628,BRAZIL Pernambuco Piedade,-8.1801557,-34.9203383
2925,28-Jun-1992,Unprovoked,surfing,M,16,FATAL,Y,1430,Bull shark or lemon shark,19920628,REUNION Saint-Paul Cap de la Marianne,-21.0166998,55.2548399
2926,19-Jun-1992,Unprovoked,swimming,F,21,Right leg was bitten above and below the knee and an artery was punctured,N,9999,Not Determined,19920619,"VANUATU Malampa Province Port Sandwich, Malakula",-16.4373277,167.785615
2930,22-May-1992,Unprovoked,surfing,M,,FATAL,Y,1400,"Tiger shark, 3 m to 4 m [10' to 13'] ",19920522,REUNION Saint-Joseph Lieu-dit Cayenne,-21.3842278,55.6121997
2931,May 1992,Unprovoked,diving,M,,"Fingers, hand & arm bitten",N,9999,Not Determined,19920500,MEXICO Mexico / Caribbean Sea Isla Mujeres,21.2321799,-86.73409339999999
2932,24-Apr-1992,Unprovoked,snorkeling,M,,"Right forearm severed, left forearm lacerated & broken",N,1530,"4 m [13'], 590-kg white shark",19920424,"NEW ZEALAND Antarctic Ocean Meteorologic Station on Campbell Island, 370 nautical miles south of New Zealand",-52.5372158,169.1445374
2933,09-Apr-1992,Unprovoked,surfing,M,35,Punctures & lacerations on lower leg,N,1320,>2 m shark,19920409,SOUTH AFRICA Eastern Cape Province Nahoon,-32.9869161,27.9380809
2934,28-Mar-1992,Unprovoked,,F,36,"Foot bitten, crescent of bitemarks in both sides of board",N,0630,Tiger shark,19920328,"USA Hawaii Cannons, at Ha'ena on the north shore of Kaua'i Island",22.2199238,-159.5661639
2935,10-Mar-1992,Unprovoked,surfing,M,17,"Right thigh, back & hand lacerated",N,9999,"Bronze whaler shark, 3 m",19920310,AUSTRALIA Victoria Point Lonsdale,-38.28333300000001,144.6
2936,08-Mar-1992,Unprovoked,diving,M,41,"FATAL, body not recovered",Y,1520,"5 m [16.5'] white shark, identification by K. Nakaya",19920308,JAPAN Ehime Prefecture Matsuyama,33.8393515,132.7653057
2938,08-Mar-1992,Unprovoked,surfing,M,21,"Left shoulder & side bitten, board broken",N,0945,Said to involve a 6 m to 7 m [20' to 23'] white shark,19920308,"USA Oregon Winchester Bay, Douglas County",43.6770608,-124.1748369
2939,19-Feb-1992,Unprovoked,boarding,M,,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Y,1500,Tiger shark?,19920219,"USA Hawaii Leftovers, near Waimea Bay, O'ahu",21.6285714,-158.0734275
2940,14-Feb-1992,Unprovoked,diving,M,,"No injury, steel diving helmet bitten 3 times",N,1000,5 m [16.5'] shark,19920214,JAPAN Ehime Prefecture Matsuyama,33.8393515,132.7653057
2942,29-Jan-1992,Unprovoked,spearfishing,M,,Survived,N,1630,1.8 m grey shark,19920129,REUNION La Saline-les-Bains Revine-3-Bassins,-21.1055992,55.2951171
2943,29-Jan-1992,Unprovoked,boarding,M,19,Right leg lacerated,N,2000,"Bronze whaler shark, 2.3 m [7.5'] ",19920129,AUSTRALIA New South Wales Tweed Heads,-28.1786656,153.5370011
2944,23-Jan-1992,Unprovoked,swimming,M,19,Right foot lacerated,N,1730,"Zambesi shark, 1.7 m [5.5'] ",19920123,SOUTH AFRICA KwaZulu-Natal Isipingo,-29.9825487,30.9216522
2945,08-Jan-1992,Unprovoked,spearfishing,M,36,Left cheek lacerated,N,1715,Possibly a 1.5 m [5'] blacktip shark,19920108,SOUTH AFRICA KwaZulu-Natal Sheffield Beach,-29.4858781,31.2526216
2947,03-Jan-1992,Unprovoked,no activity,M,,Survived,N,9999,Not Determined,19920103,JAPAN Ehime Prefecture Matsuyama,33.8393515,132.7653057
2950,04-Dec-1991,Unprovoked,diving,M,25,"No injury, shark became tangled in hose & towed him 100'",N,15006,6 m [20'] white shark,19911204,"USA California Shelter Cover, north of Fort Bragg, Shelter Cove, Mendocino County",39.4385815,-123.7952243
2951,26-Nov-1991,Unprovoked,snorkeling,F,41,"FATAL, right leg at hip, left leg and right forearm severed  ",Y,0900,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",19911126,"USA Hawaii Olowalu, Maui",20.812688,-156.6227425
2952,26-Nov-1991,Unprovoked,snorkeling,F,,Right calf abraded,N,0900,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",19911126,"USA Hawaii Olowalu, Maui",20.812688,-156.6227425
2953,19-Nov-1991,Unprovoked,fishing,M,,"Body not recovered, shorts found indicating shark bite on left side",Y,1630,"Tiger shark, 3.7 m [12'] ",19911119,"USA Hawaii Maliko Point, Maui",20.9376504,-156.34048
2954,14-Nov-1991,Provoked,fishing,M,,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,N,1254,2.4 m [8'] shark,19911114,USA Florida Near Port Canaveral Coast Guard Base,28.4154773,-80.6213525
2955,Nov-1991,Unprovoked,boarding,M,14,Calf scratched & chunk bitten from board,N,9999,"""small shark""",19911100,"AUSTRALIA Western Australia Backbeach, Halls Head",-32.5299526,115.6940059
2956,12-Oct-1991,Unprovoked,surfing,M,21,Right foot & ankle lacerated,N,0830,1.8 m [6'] shark,19911012,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546
2957,05-Oct-1991,Unprovoked,surfing,M,32,"Arm, shoulder & back bitten",N,0730,5 m to 6 m [16.5' to 20'] white shark,19911005,"USA California Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",37.0405543,-122.2290749
2959,08-Sep-1991,Unprovoked,diving,M,19,FATAL,Y,1500,4 m [13'] white shark,19910908,"AUSTRALIA South Australia Snapper Point, Aldinga Beach, Adelaide",-35.2711799,138.44391
2960,30-Aug-1991,Provoked,finning,M,36,"Shark bit his arm, nearly severing it PROVOKED INCIDENT",N,1800,"3 m [10'], 270- kg [595-lb] shark",19910830,"AUSTRALIA Queensland On board the Japanese longline trawler Fukuya No.38, 100 nm northeast of Brisbane",-27.4704528,153.0260341
2961,26-Aug-1991,Unprovoked,swimming,M,23,Deep cuts on lower leg,N,1330,sand shark,19910826,"USA South Carolina Myrtle Beach, Horry County",33.6890603,-78.8866943
2962,12-Aug-1991,Unprovoked,wading,F,10,Bite to left thigh & calf,N,1635,3' shark,19910812,"USA Florida Vero Beach, Indian River County",27.6399823,-80.39815159999999
2963,09-Aug-1991,Provoked,fishing,M,,Laceration to right forearm PROVOKED INCIDENT,N,9999,"Lemon shark, 30-lb ",19910809,USA Florida Florida Bay,24.9586323,-80.67985209999999
2965,27-Jul-1991,Unprovoked,snorkeling,M,39,Arm bitten,N,9999,"2.1 m [7'], 140-lb reef shark",19910727,"USA Florida John Pennekamp Marine Park, Monroe County",25.1252463,-80.40607609999999
2966,18-Jul-1991,Unprovoked,swimming,M,42,Punctures in lower abdomen & groin ,N,9999,1.8 m [6'] blacktip shark,19910718,USA Florida 150 miles from Crystal River,0.0,0.0
2968,07-Jul-1991,Unprovoked,swimming,M,22,Arm bitten,N,1845,Not Determined,19910707,"USA Florida South Miami Beach, Dade County",25.7826123,-80.1340772
2969,01-Jul-1991,Unprovoked,surfing,M,30,Left arm severed,N,1730,"Tiger shark, 3 to 4 m [10' to 13'] ",19910701,"REUNION L'Etang-Salé Ravine des Sables, Saint Leu",-21.2373606,55.3063412
2970,01-Jul-1991,Unprovoked,surfing,M,32,"Forearm, upper thigh, knee & ankle lacerated",N,0930,5 m [16.5'] white shark,19910701,"USA California 8.5 miles south of Ano Nuevo State Reserve, Davenport County",37.1193293,-122.3075945
2971,July 1991,Unprovoked,boarding,M,13,Severe laceration to foot,N,9999,Shark involvement not confirmed,19910700,"USA Virginia Croatan Beach, Virginia Beach, ",36.8279584,-75.9686395
2973,28-Jun-1991,Unprovoked,fishing,M,,"FATAL, right arm severed  ",Y,9999,Not Determined,19910628,HONG KONG Kowloon Peninsula Sai Kung,22.316667,114.183333
2974,26-Jun-1991,Unprovoked,surfing,M,18,Hand bitten,N,1730,Not Determined,19910626,"USA Florida Jacksonville Beach, Duval County",30.2841224,-81.3961338
2975,07-Jun-1991,Unprovoked,swimming,M,31,"Left ankle, calf, thigh and abdomen bitten",N,1130,2.7 m [9'] bull or lemon shark,19910607,"USA Florida Tampa Bay, Hillsborough County",27.9903597,-82.3017728
2976,07-Jun-1991,Unprovoked,swimming,F,65,Abdomen bitten & leg severed  FATAL,Y,0730,"Tiger shark, >3 m [10']",19910607,"HONG KONG Port Shelter Silverstrand Beach, near Hung Hau ",22.3226193,114.2722513
2977,26-May-1991,Unprovoked,sitting,M,23,Right calf bitten,N,1645,2.4 m [8'] shark,19910526,"USA Hawaii Ma'ili Beach, O'ahu",21.4191739,-158.1778478
2978,19-May-1991,Unprovoked,diving,M,,"No injury, tank scratched by shark",N,1300,"3.5 m [11.5'] female white shark named ""Notchfin""",19910519,SOUTH AFRICA Western Cape Province Gordons Bay,0.0,0.0
2979,24-Apr-1991,Provoked,fishing,Not Determined,,2 fingers severed by netted shark PROVOKED INCIDENT,N,1800,"170-kg, 2.8 m shark",19910424,"BRAZIL Pernambuco Praia de Pau Amarelo, Recife",-7.940059199999999,-34.8237936
2980,16-Apr-1991,Provoked,diving,Not Determined,,Minor injury by captive shark PROVOKED INCIDENT,N,0955,7' female shark,19910416,USA Maryland Baltimore Aquarium,39.3453368,-76.68768039999999
2981,16-Apr-1991,Unprovoked,collided,M,22,Right thigh,N,1100,1.2 m to 1.5 m [4' to 5'] shark,19910416,"USA Florida South of Ponce Inlet, New Smyrna Beach, Volusia County",29.0963729,-80.9369983
2982,03-Apr-1991,Unprovoked,sitting,M,,Deep lacerations to calf & ankle,N,1730,"""Shark had a very large girth""",19910403,"USA Hawaii One'ula Beach Park, 'Ewa Beach, O'ahu",21.306613,-158.025335
2983,03-Mar-1991,Unprovoked,diving,M,18,Lacerations to arm & leg,N,9999,"Grey nurse shark, 2 m",19910303,AUSTRALIA New South Wales Bass Point,-34.5959607,150.9018394
2984,24-Feb-1991,Unprovoked,surfing,M,38,Calf lacerated & board bitten,N,0930,5.5 m [18'] white shark,19910224,"USA Oregon Neskowin, Tillamook County",45.1067722,-123.9842817
2985,12-Feb-1991,Unprovoked,spearfishing,M,20,Foot & swim fin bitten,N,1230,5.5 m [18'] white shark,19910212,SOUTH AFRICA Western Cape Province Millers Point,0.0,0.0
2986,19-Jan-1991,Unprovoked,swimming,M,35,"Hands, legs & buttocks lacerated",N,0810,Not Determined,19910119,AUSTRALIA Queensland Mermaid Waters,-28.047778,153.421667
2987,09-Jan-1991,Unprovoked,,M,,"No injury, shark brushed ski",N,9999,4 m shark,19910109,AUSTRALIA Western Australia Scarborough,-31.8943696,115.7576807
2988,Jan-1991,Unprovoked,surfing,M,22,Survived,N,9999,2 m shark,19910100,AUSTRALIA Queensland Pelican Banks near Gladstone,-23.7833333,151.3
2990,28-Nov-1990,Unprovoked,swimming,M,26,"Abdomen, hip, leg & arm bitten",N,9999,1.5 m shark,19901128,AUSTRALIA Queensland Nerang River,-28.0042318,153.3708292
2991,03-Nov-1990,Unprovoked,diving,F,,Leg bitten,N,1500,4 m to 5 m [13' to 16.5'] white shark,19901103,"USA California Monastery Beach, Carmel Bay, Monterey County",36.5419364,-121.9529992
2992,01-Nov-1990,Unprovoked,surfing,M,24,"Ear, shoulder, arm, wrist & ear injured",N,0930,5' shark,19901101,"USA Florida Spanish River Park Beach, Palm Beach County",26.3787913,-80.0688904
2993,30-Oct-1990,Unprovoked,surfing,M,50,"Hand & wrist bitten, tooth fragments in wound",N,1655,1.8 m [6'] shark ,19901030,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546
2994,30-Oct-1990,Unprovoked,surfing,M,18,Cuts on left foot ,N,1530,Not Determined,19901030,"USA Florida Indialantic, Brevard County",28.0894599,-80.5656079
2995,27-Oct-1990,Unprovoked,swimming,M,26,Buttocks & hip bitten,N,2030,Not Determined,19901027,AUSTRALIA Queensland Mermaid Waters,-28.047778,153.421667
2996,25-Oct-1990,Unprovoked,surfing,M,,Lacerations to foot,N,1030,Not Determined,19901025,AUSTRALIA South Australia Goolwa Beach,-35.51414949999999,138.7654184
2997,20-Oct-1990,Unprovoked,surfing,M,25,Wrist bitten,N,1600,4' spinner shark,19901020,"USA Florida North end of County Beach, Palm Beach County",26.6514503,-80.2767327
2998,15-Oct-1990,Unprovoked,surfing,M,43,"No Injury, board bitten",N,1500,"Tiger shark, 3.7 m [12'] ",19901015,"USA Hawaii Hanalei Point, Kaua'i",22.2033221,-159.4977455
