,Date,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude
4824,29-Sep-1951,Unprovoked,swimming,F,21,FATAL,Y,9999,Not Determined,19510929,ITALY Salerno Amalfi,40.6340026,14.6026805
4827,17-Aug-1951,Unprovoked,swimming,M,18,Injured but survived,N,9999,White shark,19510817,GREECE Corfu Island Off Royal Residence,39.6257099,19.92481
4828,17-Aug-1951,Unprovoked,swimming,F,16,"FATAL, body not recovered Another man was also injured by the shark at same time (see below)",Y,9999,White shark,19510817,GREECE Corfu Island Off Royal Residence,39.6257099,19.92481
4830,Between 01-Aug-1951 & 08-Aug-1951,Unprovoked,bathing,Not Determined,,FATAL,Y,9999,Not Determined,19510800,COLUMBIA Caribbean Sea Cartegena,10.4208148,-75.545273
4833,25-Jun-1951,Unprovoked,swept,M,,"FATAL, victim seen in shark's mouth",Y,9999,Not Determined,19510625,"USA Hawaii Kapehu Beach, Laupahoehoe, Hawai'i",19.992749,-155.241155
4834,Jun-1951,Unprovoked,spearfishing,M,39,Right thumb bitten,N,1100,Not Determined,19510600,"FRENCH POLYNESIA Tuamotus Outer edge of Hikueru, one of the Central Tuamotu atolls",-17.5835948,-142.6386467
4837,26-Mar-1951,Provoked,fell,M,23,Minor laceration to chest when he grabbed the shark by its tail PROVOKED INCIDENT,N,1800,"Wobbegong shark, 4'",19510326,AUSTRALIA New South Wales Avalon,-33.6332741,151.3311538
4838,24-Mar-1951,Unprovoked,,M,,Severe lacerations of chest & thigh,N,9999,5.5 m [18'] shark,19510324,AUSTRALIA New South Wales Sydney,-33.8688197,151.2092955
4839,15-Mar-1951,Unprovoked,surfing,M,19,Left foot lacerated,N,1200,Not Determined,19510315,"SOUTH AFRICA KwaZulu-Natal South Beach, Durban",-29.8578378,31.034184
4840,19-Feb-1951,Unprovoked,surfing,M,31,"Leg bitten, defense wounds on hands",N,1215,136-kg [300-lb] shark,19510219,SOUTH AFRICA Eastern Cape Province Port St. Johns,-31.6287512,29.5368709
4841,03-Feb-1951,Unprovoked,spearfishing,M,20,Shark's fin caused abrasion on his chest,N,9999,Not Determined,19510203,"AUSTRALIA New South Wales Windang, near the entrance to Lake Illawarra",-34.5232248,150.8434913
4842,01-Feb-1951,Unprovoked,swimming,M,14,Leg bitten,N,9999,1.2 m [4'] shark,19510201,AUSTRALIA New South Wales Bondi Beach,-33.8914755,151.2766845
4843,21-Jan-1951,Unprovoked,swimming,M,19,"FATAL, right thigh bitten, leg severed at knee",Y,1625,Not Determined,19510121,"SOUTH AFRICA KwaZulu-Natal Native Beach, Durban",-29.8302459,31.0367846
4845,1951,Unprovoked,no activity,Not Determined,,FATAL,Y,9999,Not Determined,19510000,NEW GUINEA Madang Province Manam Island,-4.0642914,145.0272904
4846,31-Dec-1950,Unprovoked,paddling,M,19,"No injury, shark bit oar",N,9999,"Nurse shark, 10' ",19501231,AUSTRALIA Queensland Kirra,-28.1673738,153.5309853
4848,16-Dec-1950,Unprovoked,treading,M,20,"FATAL, lower abdomen severely bitten & his left leg was severed",Y,1615,Not Determined,19501216,"AUSTRALIA Queensland Palm Beach North, 5 miles north of Burleigh Heads, Brisbane",-28.1208897,153.47257
4849,29-Nov-1950,Provoked,diving,M,17,"Minor injury to hand and groin from shark ""caught on his fishing spear"" PROVOKED INCIDENT",N,9999,2' shark,19501129,AUSTRALIA Northern Territory Goulburn Island,-11.6140013,133.3970188
4850,25-Nov-1950,Unprovoked,surfing,M,21,Part of buttocks & fingers severed,N,1715,"White shark, 3m, seen in area and hooked 3 days later",19501125,"AUSTRALIA Queensland Burleigh Heads, Brisbane",-28.1033061,153.4235791
4852,28-Oct-1950,Unprovoked,surfing,M,31,Right leg lacerated,N,1200,White shark,19501008,"USA California Imperial Beach, San Diego County",32.5839444,-117.1130849
4853,04-Oct-1950,Unprovoked,fishing,M,25,Lacerations to right thumb and knee,N,1500,4' shark,19501004,"AUSTRALIA Queensland Peterson's Beach, Sarina",-21.384704,149.313362
4854,06-Aug-1950,Provoked,jerked,M,27,Left thigh bitten by hooked shark PROVOKED INCIDENT,N,0830,"1,100-lb shark",19500806,EL SALVADOR  La Libertad 50 miles off Port La Libertad,0.0,0.0
4855,Aug-1950,Unprovoked,diving,M,,Tissue stripped knee to foot,N,9999,Not Determined,19500800,SAUDI ARABIA Eastern Province East of the Ras Tanura-Jubail area ,26.773008,49.998236
4857,21-Jul-1950,Unprovoked,swimming,M,19,FATAL,Y,9999,Not Determined,19500721,JAPAN Sago Prefecture Ariakeno Bay,33.2631179,130.3009057
4858,1950.07.19,Provoked,fishing,Not Determined,,Harpooned shark bit his forehead PROVOKED INCIDENT,N,9999,Not Determined,19500719,ITALY Savona Albenga,44.0494254,8.215611299999999
4860,10-Jul-1950,Unprovoked,swimming,M,11,Laceration to leg,N,9999,Hammerhead shark,19500710,USA Texas Near Port Arthur,29.8849504,-93.93994699999999
4862,Jul-1950,Unprovoked,standing,M,21,Shallow lacerations on back of right thigh,N,9999,0.7 m [2.5'] shark,19500700,"USA Florida Rock Harbor, Key Largo, Monroe County",25.0767934,-80.4603363
4863,25-Jun-1950,Unprovoked,swimming,M,16,"Gashes & lacerations on legs, foot lacerated.",N,9999,"""sand shark""",19500625,"USA New York Beach 103rd Street, Rockaway ",40.5831668,-73.8153597
4865,24-May-1950,Unprovoked,treading,M,27,Left foot bitten,N,1030,Not Determined,19500524,SOUTH AFRICA KwaZulu-Natal Port Edward,-31.0509031,30.2224227
4868,09-Apr-1950,Unprovoked,sitting,M,,"Shark bit foot, removing 2 toes",N,9999,2.13 m shark,19500409,SOUTH AFRICA Eastern Cape Province Off Port Elizabeth breakwater,-33.9608369,25.6022423
4869,26-Mar-1950,Unprovoked,wading,M,,"Ankle & foot lacerated, defense wounds on hand",N,1200,1.5 m to 1.8 m [5' to 6'] spear-eye shark ,19500326,"SOUTH AFRICA Eastern Cape Province Off bank of Ntshala River, Morgan Bay",-32.7088368,28.3419635
4870,08-Mar-1950,Unprovoked,,M,20,FATAL,Y,1850,Not Determined,19500308,"SOUTH AFRICA KwaZulu-Natal North Beach, Durban",-29.8475749,31.0349434
4873,11-Feb-1950,Unprovoked,surfing,M,14,"FATAL, body not recovered ",Y,1430,"White shark, 3.7 m [12']  according to witnesses",19500211,"SOUTH AFRICA KwaZulu-Natal South Beach, Durban",-29.8578378,31.034184
4877,1950,Unprovoked,fishing,M,,Buttock removed,N,9999,Possibly a lemon shark,19500000,SRI LANKA Eastern Province Heda Oya Estuary,6.8813225,81.6706621
4878,1950,Unprovoked,spearfishing,M,,"No injury, but shark damaged one of his swim fins",N,9999,Whtietip reef shark,19500000,SRI LANKA Southern Province Dodnduwa,6.1028347,80.13029689999999
4879,1950 - 1951,Unprovoked,defecating,M,,FATAL,Y,9999,Not Determined,19500000,LIBERIA Montserrado Monrovia,6.3156068,-10.8073698
4880,Summer 1950,Unprovoked,,M,7,FATAL,Y,1500,"Tiger shark, 3.7 m to 4.3 m  [12' to 14']",19500000,INDONESIA Jakarta Harbour On rock near Yacht Club,34.7440854,-92.3406485
4881,1950,Unprovoked,standing,M,,Arm bitten,N,9999,Not Determined,19500000,"USA Florida Jacksonville Beach, Duval County",30.2841224,-81.3961338
4883,1950,Unprovoked,bathing,M,,Foot & hand severed,N,1300,2.7 m [9'] shark with black-tipped pectoral fins,19500000,PANAMA Canal Zone 300 yards west of mouth of the Chagres River,9.281203999999999,-79.4762741
4886,1950,Unprovoked,walking,M,,"Shark jumped from sea, taking fish & his right arm",N,9999,Not Determined,19500000,"NEW CALEDONIA North Province Voh, near meatworks",-20.9557855,164.6839545
4887,Ca. 1950,Unprovoked,collecting,M,,"Arm bitten, surgically amputated",N,9999,Not Determined,19500000,NEW CALEDONIA North Province Mangalia Reef above Touho ,-20.7914721,165.2508229
4890,Dec-1949,Unprovoked,lying,M,35,"No injury,     Shark landed on top of him, knocked him back down 3 times",N,9999,"Grey nurse shark, 2.6 m [8.5']  ",19491200,AUSTRALIA Victoria Seaholme,-37.86799999999999,144.841
4891,20-Nov-1949,Unprovoked,wading,M,36,Left arm bitten ,N,1800,6' shark,19491120,"AUSTRALIA New South Wales Kurnell, Botany Bay ",-34.01159,151.20686
4893,28-Aug-1949,Unprovoked,swimming,M,21,Abdomen & chest abraded,N,1320,Not Determined,19490828,AUSTRALIA Queensland Yorkeys Knob Beach near Cairns,0.0,0.0
4894,28-Aug-1949,Unprovoked,swimming,M,34,"FATAL, right leg, thigh & fingers lacerated ",Y,1320,Not Determined,19490828,AUSTRALIA Queensland Yorkeys Knob Beach near Cairns,0.0,0.0
4896,16-Aug-1949,Unprovoked,swimming,M,18,Hip lacerated,N,1600,Not Determined,19490816,AUSTRALIA Tasmania Flinders Island,-39.9836386,148.052689
4899,28-Jul-1949,Unprovoked,swimming,M,18,"FATAL, thigh lacerated, femur exposed ",Y,9999,Not Determined,19490728,IRAN Shatt-al-Arab River Bashamir,30.8322839,47.557984
4900,25-Jul-1949,Unprovoked,floating,M,16,"Abdomen abraded, thigh lacerated",N,1500,Not Determined,19490725,"USA South Carolina Oketee River, Jasper County",32.2791941,-80.94899079999999
4901,16-Jul-1949,Provoked,fishing,M,16,Right hand bitten by hooked shark being pulled onboard PROVOKED INCIDENT,N,9999,"Bonita sharkk, 200-lb",19490716,"USA California 10 miles off Redondo Beach, Los Angeles County",0.0,0.0
4903,16-May-1949,Unprovoked,bathing,F,22,"Left arm severed above elbow, recovered 5 days afterwards from sharks gut",N,9999,"Whaler shark, 2.7 m [9'], 350- to 450-lb  identified by G.P. Whitley",19490516,AUSTRALIA Western Australia Broome,-17.96182,122.236998
4904,13-May-1949,Provoked,examining,M,26,Lacerations to right hand PROVOKED INCIDENT,N,9999,Not Determined,19490513,AUSTRALIA New South Wales Nelson's Bay,-32.715,152.151111
4905,18-Apr-1949,Provoked,fishing,M,,Toe bitten by netted shark PROVOKED INCIDENT,N,9999,3' shark,19490418,"AUSTRALIA Queensland Nerang River, Southpot",-27.9718794,153.4063059
4906,17-Apr-1949,Unprovoked,bathing,M,13,"FATAL, left leg severed",Y,1330,"3.3 m [10'9""] shark",19490417,"AUSTRALIA Queensland Ellis Beach, 20 miles from Cairns",0.0,0.0
4907,13-Apr-1949,Unprovoked,bathing,M,,"U.S. destroyer John W. Weeks, 6 miles offshore, demonstrating guns & bombs for Mexican officials was thought to have driven the shark into the shallows where it bit the bather before other bathers drove it away with sticks & clubs.",N,9999,Not Determined,19490413,"MEXICO Tamaulipas Miramar Beach, Tampico",22.2766813,-97.796375
4909,23-Jan-1949,Unprovoked,lifesaving,M,20,FATAL,Y,1500,"White shark, 3.6 m [11'9""] ",19490123,"AUSTRALIA New South Wales Bar Beach, Newcastle ",-32.9377866,151.7701917
4911,13-Jan-1949,Unprovoked,,M,,"No injury, shark bumped ski",N,9999,Not Determined,19490113,"AUSTRALIA New South Wales Mona Vale, near Sydney",-33.67596,151.30653
