,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure,na_wind_speed
5299,Provoked,put,M,,"Foot bitten, required 1 week hospitalization PROVOKED INCIDENT",N,9999,"White shark, 246-kg ",19-May-1935,"SOUTH AFRICA KwaZulu-Natal North Pier, Durban",-29.8678581,31.0563499,,,,,True
5300,Unprovoked,diving,M,,3 gashes on hand & wrist,N,9999,1.8 m [6'] shark,12-May-1935,AUSTRALIA Torres Strait On edge of reef near Warrior Island,-10.2199025,141.9368545,,,,,True
5304,Unprovoked,diving,M,,Buttocks injured by fin or a bump ,N,1800,Not Determined,30-Mar-1935,AUSTRALIA Queensland Barrier Reef off Mackay,-20.7049555,150.0259466,,,,,True
5306,Unprovoked,standing,M,,Left thigh abraded & 3 fingers lacerated,N,9999,Tiger shark 3 m  [10'] ,20-Mar-1935,AUSTRALIA Torres Strait Three Mile Reef off Lizard Island 50 miles north of Cooktown,-14.6680433,145.463777,,,,,True
5307,Provoked,hauling,M,38.0,Calf & shin bitten  PROVOKED INCIDENT,N,9999,"""Blue nose shark""",13-Mar-1935,AUSTRALIA Queensland Pimpana River,-27.8203377,153.3849002,,,,,True
5308,Unprovoked,surfing,M,,Abrasions to shins,N,9999,Not Determined,11-Mar-1935,AUSTRALIA New South Wales Newcastle,-32.9282712,151.7816802,,0.3,,,True
5309,Unprovoked,swimming,M,27.0,"FATAL, left thigh, buttock, left forearm bitten, finger removed  ",Y,1230,"White shark, 4 m [13'] ",09-Mar-1935,AUSTRALIA New South Wales Maroubra Beach,-33.9495,151.2437,,0.0,,,True
5310,Unprovoked,standing,M,22.0,"FATAL, thigh bitten ",Y,1730,"White shark, 3.5 m to 4 m [11.5' to 13'] ",02-Mar-1935,AUSTRALIA New South Wales North Narrabeen Beach,-33.7095423,151.3033826,,0.8,,,True
5311,Unprovoked,surfing,M,20.0,"Thigh lacerated, abrasions",N,1730,Not Determined,14-Feb-1935,AUSTRALIA New South Wales Austinmer,-34.306311,150.93451,,,,,True
5312,Unprovoked,fishing,M,,"No injury, sleeve ripped",N,9999,"Tiger shark, 12' ",24-Jan-1935,"AUSTRALIA New South Wales Off Ben Buckler, near Sydney",-33.8898004,151.2831104,,1.3,,,True
5318,Unprovoked,taken,M,14.0,FATAL,Y,1300,Not Determined,23-Dec-1934,AUSTRALIA New South Wales Woy Woy  on the Brisbane Waters,-33.4887953,151.3259426,,,,,True
5319,Unprovoked,swimming,M,12.0,Leg injured,N,1300,Not Determined,23-Oct-1934,AUSTRALIA New South Wales Woy Woy on the Brisbane Waters,-33.4887953,151.3259426,,,,,True
5320,Unprovoked,bathing,F,38.0,FATAL,Y,9999,Not Determined,09-Oct-1934,"AUSTRALIA Northern Territory Redcliff, Cobourg Peninsula",-11.3666667,132.3,,,,,True
5321,Provoked,fishing,M,,Arm bitten by hooked shark PROVOKED INCIDENT,N,1500,Not Determined,08-Oct-1934,BERMUDA Hamilton Hamilton Parish,32.3449432,-64.72365,,,,,True
5322,Unprovoked,freediving,M,,"FATAL, forearm lacerated & surgically amputated, but died of gas gangrene 13 days afterwards ",Y,9999,Not Determined,22-Oct-1934,AUSTRALIA Torres Strait Warrior Reefs,-9.5833333,143.1666667,,,,,True
5326,Unprovoked,dived,M,,"FATAL, body was not recovered",Y,9999,Not Determined,26-Aug-1934,AUSTRALIA Queensland Off Eva Island 20 miles from Cardwell,-18.235612,146.3256112,,0.0,,,True
5327,Unprovoked,swimming,F,18.0,FATAL,Y,9999,White shark,21-Aug-1934,"CROATIA Adriatic Sea Susak (Rijeka, Istria)",45.323056,14.4688891,,,,,True
5328,Unprovoked,swimming,M,11.0,Lacerations to right leg,N,9999,Not Determined,05-Aug-1934,"USA Georgia Thunderbolt, Chatham County",32.0335445,-81.04983419999999,,,,,True
5330,Provoked,fishing,M,,Hand bitten while landing shark PROVOKED INCIDENT,N,1500,"A 6.5' ""blue-nosed shark""",  21-Jun-1934,AUSTRALIA New South Wales Off Mooloolabah,-31.2532183,146.921099,,,,,True
5331,Unprovoked,standing,M,8.0,FATAL,Y,9999,Not Determined,20-Jun-1934,"USA Florida Melbourne, Brevard County",28.0836269,-80.60810889999999,,,,,True
5332,Unprovoked,surfing,M,34.0,Leg lacerated & punctured,N,0930,Not Determined,15-Apr-1934,"AUSTRALIA Queensland Elephant Rock, Currumbin near Southport",-28.1333333,153.4833333,,,,,True
5334,Unprovoked,swimming,M,12.0,Right thigh lacerated,N,1200,Not Determined,01-Apr-1934,"SOUTH AFRICA KwaZulu-Natal Danger Pool, Winkelspruit",-30.097506,30.854459,,,,,True
5335,Unprovoked,swimming,M,15.0,"FATAL, right leg lacerated",Y,1230,4.3 m [14'] shark seen in vicinity,01-Apr-1934,AUSTRALIA New South Wales North Steyne,-33.7915584,151.2869868,,2.8,,,True
5336,Unprovoked,swimming,M,17.0,"FATAL, leg & buttocks removed ",Y,1500,4 m [13'] shark seen in vicinity,12-Mar-1934,"AUSTRALIA New South Wales Dee Why, north of Queenscliff ",-33.7825,151.284722,,0.0,,,True
5337,Provoked,fishing,Not Determined,,"No injury to occupants, hooked shark, snapped at rudder & then attacked boat PROVOKED INCIDENT",N,9999,"Mako shark, 3.7 m [12'] identified by tooth fragments by G.P. Whitley",Mar-1934,AUSTRALIA New South Wales Cronulla,-34.0516553,151.1545063,,,,,True
5338,Unprovoked,splashing,M,,"Lacerated knee & foot, deep puncture wounds",N,1200,3.4 m [11']  tiger shark & a 5' shark,24-Feb-1934,AUSTRALIA Torres Strait Adolphus Channel,-10.2199025,141.9368545,,,,,True
5339,Unprovoked,fell,M,,FATAL,Y,9999,Not Determined,22-Feb-1934,CHILE Elqui Province Coquimbo,-29.9590009,-71.3389183,,,,,True
5342,Unprovoked,swimming,M,22.0,Severely lacerated  right leg.  Later surgically amputated & survived despite gas gangrene,N,1530,4.3 m [14'] shark seen in area previous week,07-Jan-1934,AUSTRALIA New South Wales Queenscliff,-33.7825,151.284722,,34.8,,,True
5343,Unprovoked,diving,M,,"FATAL, right buttock & thigh bitten ",Y,9999,"Tiger shark, 3.4 m [11'] ",20-Nov-1933,AUSTRALIA Torres Strait Near Boydong Cay,-10.7,142.5166667,,,,,True
5344,Unprovoked,diving,M,17.0,"Hand badly injured, right arm surgically amputated above wrist",N,9999,Tiger shark,18-Nov-1933,AUSTRALIA Queensland Near Barrow Point,-22.575197,144.0847926,,,,,True
5347,Provoked,caught,M,,Severely lacerated arm PROVOKED INCIDENT,N,9999,"Blue shark, 4.5 m [14'9""]",28-Aug-1933,"USA California Hermosa Beach, Los Angeles County",33.8622366,-118.3995194,,,,,True
5351,Unprovoked,diving,M,,"No injury, shark tore diving suit",N,9999,Not Determined,03-Jul-1933,AUSTRALIA Western Australia Broome,-17.96182,122.236998,,,,,True
5352,Unprovoked,sitting,M,15.0,Right knee & left leg bitten,N,9999,Thought to involve a 2.4 m [8'] lemon shark; two 2.4 m lemon sharks caught within 100 yds of the site a week prior to & a week after this incident,21-Jun-1933,USA South Carolina North end of Morris Island at mouth of Charleston Harbor,32.766776,-79.89591500000002,,,,,True
5353,Unprovoked,standing,F,,Left calf bitten,N,9999,Not Determined,16-Jun-1933,"USA South Carolina Folly Island, near Charleston",32.6656417,-79.9206694,,,,,True
5356,Provoked,fishing,M,,Laceration to lower leg by netted shark PROVOKED INCIDENT,N,9999,7' to 8' shark,23-May-1933,AUSTRALIA Queensland Off Stradbroke Island,-27.5323174,153.4626077,,,,,True
5359,Unprovoked,swimming,M,24.0,FATAL,Y,9999,Possibly a bull shark or tiger shark,10-Apr-1933,"USA Florida Miami Beach, Miami-Dade County",25.790654,-80.1300455,,,,,True
5360,Unprovoked,standing,M,,Abrasions to legs,N,9999,10' shark,26-Feb-1933,AUSTRALIA New South Wales Sydney,-33.8688197,151.2092955,,0.0,,,True
5363,Provoked,fishing,M,,Forearm injured by hooked shark PROVOKED INCIDENT,N,9999,Blue shark,12-Feb-1933,"AUSTRALIA South Australia Port River, Adelaide",-34.7617799,138.51011,,0.0,,,True
5364,Unprovoked,swimming,M,38.0,Severe abdominal wounds FATAL (Note: 14 days earlier a dog was bitten in two by a large shark),Y,1730,Not Determined,04-Jan-1933,"AUSTRALIA Queensland Strand Beach, Kissing Point, Townsville",-19.2418193,146.8067169,,,,,True
5368,Unprovoked,swimming,M,24.0,"Torso bitten with pneumothorax, slight lacerations on left hand",N,1100,Thought to involve a mako or grey nurse shark,31-Oct-1932,"AUSTRALIA New South Wales Redhead Beach, Newcastle",-33.0204805,151.7091512,,0.0,,,True
5369,Unprovoked,swimming,M,27.0,FATAL,Y,9999,Not Determined,11-Oct-1932,CAPE VERDE Barlavento Islands São Vicente ,16.8236845,-23.9934881,,,,,True
5371,Provoked,no activity,M,,Hand bitten by landed shark PROVOKED INCIDENT,N,9999,Not Determined,30-Aug-1932,AUSTRALIA New South Wales Bondi,-33.8914755,151.2766845,,0.0,,,True
5372,Provoked,no activity,M,,Bitten by landed shark PROVOKED INCIDENT,N,9999,Not Determined,30-Aug-1932,AUSTRALIA New South Wales Newcastle,-32.9282712,151.7816802,,0.0,,,True
5373,Provoked,fishing,M,,Hooked shark gashed right leg      PROVOKED INCIDENT,N,9999,16' 800-lb shark,10-Aug-1932,"USA New Jersey Offshore, between Mantoloking & Point Pleasant, Ocean County",40.0392835,-74.0498585,,,,,True
5375,Provoked,filming,M,18.0,"No injury, hooked shark rammed tripod PROVOKED INCIDENT",N,9999,Not Determined,06-Aug-1932,"BAHAMAS New Providence District Nassau, New Providence Island",25.0519283,-77.4013403,,,,,True
5378,Provoked,fishing,M,32.0,Knee bitten by boated shark PROVOKED INCIDENT,N,9999,"250-lb ""dog shark""",28-Jun-1932,"USA New Jersey 10 miles offshore from Sea Isle City, Cape May County",39.1534477,-74.6929387,,,,,True
5379,Provoked,fishing,M,,Ankle broken when 500-lb boated shark lashed him with its tail PROVOKED INCIDENT,N,9999,Not Determined,26-Jun-1932,"USA New Jersey Off Ocean City, Cape May County",39.2776156,-74.5746001,,,,,True
5380,Unprovoked,diving,F,,FATAL,Y,9999,Not Determined,20-Jun-1932,FIJI Yasawa Islands Nabukeru ,-16.8417557,177.466898,,,,,True
5381,Unprovoked,diving,M,,FATAL,Y,9999,Not Determined,12-May-1932,AUSTRALIA Torres Strait Near Warrior Reefs,-9.5833333,143.1666667,,,,,True
5382,Unprovoked,diving,M,,Severe injury to forearm near elbow,N,9999,Not Determined,May 1932,AUSTRALIA Torres Strait Thursday Island,-10.5802361,142.2210964,,,,,True
5383,Unprovoked,standing,M,,"FATAL, torso bitten ",Y,9999,Not Determined,16-Apr-1932,PHILIPPINES Manila Fort Mills,14.5540541,121.046918,,,,,True
5384,Unprovoked,standing,F,,"FATAL, torso bitten ",Y,9999,Not Determined,16-Apr-1932,PHILIPPINES Manila Fort Mills,14.5540541,121.046918,,,,,True
5385,Unprovoked,swimming,M,,Two 6-inch lacerations,N,9999,Not Determined,16-Feb-1932,"USA Hawaii 1 mile off Mala Wharf, Lahaina, Maui",20.8838797,-156.6860174,,,,,True
5386,Unprovoked,fishing,M,,Foot bitten,N,9999,Not Determined,13-Feb-1932,AUSTRALIA Queensland Calliope River,-23.9815319,151.0075239,,,,,True
5387,Unprovoked,working,M,,"FATAL, died next day at 03h00",Y,9999,Not Determined,08-Feb-1932,PHILIPPINES Manila Fort Mills,14.5540541,121.046918,,,,,True
5388,Unprovoked,swimming,M,,Thigh bitten,N,1800,A small shark,27-Jan-1932,AUSTRALIA Queensland Ipswich,-27.614614,152.7608421,,0.0,,,True
5390,Provoked,fishing,M,36.0,Hooked shark capsized rowboat & the 2 men were drowned PROVOKED INCIDENT,Y,9999,Not Determined,06-Jan-1932,MEXICO Baja California Descano Point,32.5666181,-116.6074282,,,,,True
5391,Unprovoked,collecting,M,23.0,"Right shin, calf and sole of foot lacerated",N,9999,"Raggedtooth shark, 1.2 m to 1.5 m [4' to 5'] ",1932,"SOUTH AFRICA Eastern Cape Province Kowie River Mouth, Port Alfred",-33.4711397,26.7123202,,,,,True
5392,Unprovoked,diving,M,45.0,Left foot acerated,N,9999,4 m [13'] shark,26-Nov-1931,AUSTRALIA Torres Strait Barrier Reef near Innisfail,-10.3333333,142.5,,,,,True
5393,Unprovoked,diving,M,,FATAL,Y,1200,Not Determined,27-Sep-1931,"JAMAICA Kingston Parish East Beach, Kingston",18.0236625,-76.7803192,,,,,True
5394,Unprovoked,swimming,M,,Minor injury,N,9999,Not Determined,21-Sep-1931,"USA Florida Municipal Beach, West Palm Beach, Palm Beach County",26.6995753,-80.0330578,,,,,True
5395,Unprovoked,swimming,F,20.0,Right thigh & calf lacerated,N,9999,"Hammerhead shark, 2.4 m [8'], according to lifeguard Sam Barrows",21-Sep-1931,"USA Florida Municipal Beach, West Palm Beach, Palm Beach County",26.6995753,-80.0330578,,,,,True
5397,Unprovoked,swimming,M,18.0,FATAL  (Wire netting installed at local beaches after this incident.),Y,9999,Not Determined,31-Aug-1931,"CUBA Havana Province Vedado Baths, Miramar, Havana",23.1204209,-82.41428950000001,,,,,True
5400,Unprovoked,swimming,M,23.0,"FATAL, right leg bitten ",Y,9999,Not Determined,25-Aug-1931,"CUBA Havana Province Miramar subdivision, Havana",23.1230772,-82.4196748,,,,,True
5401,Unprovoked,swimming,M,,"FATAL, ""rescuers saw shark trying to drag him under by the leg"" ",Y,9999,Not Determined,23-Aug-1931,"CUBA Havana Province Miramar, Havana",23.1230772,-82.4196748,,,,,True
5402,Unprovoked,swimming,M,,Minor injury,N,9999,Not Determined,18-Aug-1931,USA Texas Off Brownsville,25.9017472,-97.4974838,,,,,True
5404,Unprovoked,fell,M,,FATAL,Y,9999,Not Determined,01-Aug-1931,AUSTRALIA Queensland Port Douglas,-16.4839732,145.4622522,,0.5,,,True
5406,Unprovoked,swimming,M,,Nipped on leg,N,9999,Not Determined,15-Jul-1931,"USA New Jersey Sea Girt, Monmouth County",40.1320592,-74.0345813,,,,,True
5407,Unprovoked,had,M,,Survived,N,9999,Not Determined,14-Jun-1931,"USA Hawaii Pearl Harbor, O'ahu",21.3511958,-157.9801523,,,,,True
5408,Provoked,gaffing,M,,Tip of finger amputated PROVOKED INCIDENT,N,9999,"Tiger shark, 3 m [10']",13-Jun-1931,"USA Hawaii Pearl Harbor, O'ahu",21.3511958,-157.9801523,,,,,True
