,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure,na_wind_speed
1026,Unprovoked,diving,M,50.0,Bitten on rear lower extremities,N,1115,Not Determined,28-Jul-2013,BAHAMAS Abaco Islands Grand Cay,27.2162615,-78.3230559,83.0,0.0,7.7,1017.3,False
1027,Unprovoked,swimming,F,18.0,FATAL,Y,1320,Not Determined,    22-Jul-2013,"BRAZIL Pernambuco Boa Viagem Beach, Recife",-8.11807,-34.8932392,75.6,0.09,9.8,1014.5,False
1028,Unprovoked,walking,F,50.0,Lacerations and abrasions to foot and ankle,N,1430,Not Determined,19-Jul-2013,"USA Alabama Gulf Shores, Baldwin County",30.2460361,-87.70081929999999,24.9,,7.7,,False
1030,Unprovoked,swimming,F,15.0,FATAL,Y,1415,Not Determined,15-Jul-2013,REUNION Saint-Paul Le cimetière marin,-21.0148092,55.2602795,21.0,0.8,21.4,,False
1032,Unprovoked,wading,F,63.0,Right foot bitten,N,1520,Not Determined,11-Jul-2013,USA North Carolina Holden Beach. Brunswick County,33.9139209,-78.26938849999999,27.4,,16.2,,False
1034,Unprovoked,surfing,M,29.0,"No injury, holes in wetsuit ",N,9999,Not Determined,02-Jul-2013,"AUSTRALIA Victoria Flinders, Mornington Penisula",-38.474,145.022,58.1,0.01,12.8,1020.8,False
1038,Unprovoked,swimming,M,,Lacerations to left foot,N,9999,"Possibly a Bull shark, 3'",25-Jun-2013,"USA Florida Jacksonville, Duval County",30.3321838,-81.65565099999999,27.9,0.0,6.1,1020.3,False
1039,Unprovoked,swimming,M,14.0,"Bitten on lower right leg, reported as a minor injury",N,1245,4' to 5' shark,25-Jun-2013,"USA South Carolina Kiawah Island, Charleston County",32.6082373,-80.0848166,27.5,0.3,9.8,1020.3,False
1040,Unprovoked,swimming,M,28.0,Right thigh & calf bitten,N,1250,"Tiger shark, 14'",18-Jun-2013,USA Hawaii Kona Coast State Park,19.7703831,-156.0217836,26.7,0.0,11.0,1016.0,False
1041,Unprovoked,swimming,M,15.0,Left leg & hand bitten,N,1445,Not Determined,17-Jun-2013,"USA Texas Surfside Beach, Brazoria County",28.9516604,-95.2875474,28.3,0.0,15.3,1014.4,False
1042,Unprovoked,surfing,M,,Lacerations to knee,N,0800,Not Determined,16-Jun-2013,SOUTH AFRICA Eastern Cape Province Queensberry Bay,-32.8809205,28.0956202,57.6,0.0,7.9,1029.5,False
1043,Unprovoked,surfing,F,,Lacerations to left ankle,N,9999,Not Determined,15-Jun-2013,"USA Florida Atlantic Beach, Duval County",30.3344077,-81.398696,26.4,0.3,20.0,1017.3,False
1045,Provoked,fishing,M,58.0,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N,9999,"Lemon shark, 4'",06-Jun-2013,"USA Florida Off Snipe Point, Florida Keys, Monroe County",24.6981975,-81.6739784,80.3,0.93,12.8,1010.5,False
1046,Unprovoked,surfing,M,,"No injury, board damaged",N,1600,6' shark,06-Jun-2013,AUSTRALIA New South Wales Target Beach,-35.0712278,150.7829962,13.9,0.0,11.3,,False
1047,Unprovoked,diving,M,32.0,Lacerations to right hand,N,9999,Galapagos shark,27-May-2013,"USA Hawaii Halewia, Oahu",21.5927614,-158.1034112,77.0,0.0,9.8,1018.8,False
1048,Unprovoked,swimming,M,11.0,Right foot bitten,N,1800,Not Determined,27-May-2013,"USA Florida Ormond Beach, Volusia County",29.2858129,-81.0558894,22.8,0.0,10.4,1022.3,False
1049,Unprovoked,no activity,M,41.0,FATAL,Y,9999,Not Determined,23-May-2013,BRAZIL Pernambuco Coral Cove Beach,-8.7492819,-35.0893402,78.0,0.02,5.6,1013.0,False
1051,Unprovoked,surfing,M,29.0,Superficial injury to left calf,N,1200,Galapagos shark,14-May-2014,"ECUADOR Santa Cruz Island Playa Brava, Turtle Bay",-0.7078865,-90.3167875,,0.0,,,False
1053,Unprovoked,boarding,M,36.0,FATAL,Y,0820,Bull shark,08-May-2013,REUNION Saint-Gilles Brisant Beach,-21.0570376,55.2214326,74.9,0.0,7.4,1015.9,False
1054,Unprovoked,surfing,M,16.0,Lacerations to left foot and ankle,N,1115,a small shark,04-May-2013,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546,23.4,0.0,12.2,1006.9,False
1055,Provoked,fishing,M,,Foot bitten by landed shark PROVOKED INCIDENT,N,9999,"Wobbegong, 2m",28-Apr-2013,AUSTRALIA New South Wales Emerald Beach,-30.1574794,153.1501948,67.8,0.0,7.8,1020.2,False
1056,Unprovoked,swimming,F,34.0,Avulsion injury  to lower right leg,N,1340,Tiger shark,24-Apr-2013,"MEXICO Quintana Roo Seagull Beach, Cancun",21.0619712,-86.7792839,82.5,0.04,5.9,1014.7,False
1057,Unprovoked,fishing,M,51.0,Puncture wounds and lacerations to both legs,N,1400,"Grey nurse shark, 3m",21-Apr-2013,AUSTRALIA New South Wales Crowdy Head,-31.8401787,152.7508448,61.0,0.0,7.4,1013.5,False
1058,Unprovoked,,M,9.0,Lacerations to right foot,N,1030,3' shark,17-Apr-2013,"USA Florida Near Boynton Beach, Palm Beach County",26.5317866,-80.0905465,25.4,0.0,15.1,1018.4,False
1059,Unprovoked,,M,,"""Light scratch on hand/wrist area""",N,9999,Blue shark,14-Apr-2013,SOUTH AFRICA Western Cape Province False Bay,-34.1291678,18.4461507,15.9,,17.1,,False
1060,Unprovoked,surfing,M,21.0,Minor lacerations to right hand,N,1330,Bull shark,13-Apr-2013,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,22.7,0.0,10.4,1014.3,False
1062,Unprovoked,boarding,M,53.0,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,1200,Possibly a blacktip reef shark,10-Apr-2013,"FRENCH POLYNESIA Tuamotus North Pass, Fakarava",-16.3103178,-145.6245586,,0.0,,,False
1063,Unprovoked,swimming,M,50.0,Lacerations to hand,N,9999,Not Determined,04-Apr-2013,"USA Florida Jensen Beach, Martin County ",27.2544906,-80.22976969999999,23.0,,11.2,,False
1069,Unprovoked,fishing,M,50.0,Left foot bitten,N,9999,Not Determined,21-Mar-2013,BAHAMAS Eleuthera Savannah Sound,25.0837,-76.135757,74.2,0.0,7.5,1012.5,False
1070,Provoked,fishing,M,30.0,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N,0900,"Raggedtooth shark, 1.5 m",16-Mar-2013,SOUTH AFRICA Western Cape Province De Mond,-34.71130309999999,20.1049197,69.2,0.01,6.9,1015.4,False
1071,Unprovoked,surfing,M,,"No injury, surfboard bitten",N,9999,Not Determined,16-Mar-2013,SOUTH AFRICA Western Cape Province Hawston Beach,-34.39617690000001,19.1260623,69.2,0.05,6.6,1016.0,False
1072,Unprovoked,spearfishing,M,68.0,FATAL,Y,0900,"Tiger shark, 4.8 m",12-Mar-2013,JAMAICA St. Catherine Pillikin Red Light area ,18.0364134,-77.0564464,79.2,0.12,9.2,1014.4,False
1073,Unprovoked,spearfishing,M,28.0,Laceration to left hand,N,0900,"Bronze whaler shark, 2.5m",10-Mar-2013,AUSTRALIA Western Australia African Reef off Geraldton,-28.8025245,114.6185507,22.2,2.8,15.4,,False
1074,Unprovoked,swimming,M,28.0,Minor leg injuries,N,9999,"""small sharks""",10-Mar-2013,PHILIPPINES Palawan Off Likas Island,9.4462305,118.3929417,84.2,0.0,7.3,1011.0,False
1075,Unprovoked,swimming,M,39.0,Injuries to arms & hands,N,9999,Not Determined,03-Mar-2013,SOUTH AFRICA Eastern Cape Province Port St. John's,-31.6287512,29.5368709,69.8,0.02,5.3,1021.8,False
1076,Unprovoked,swimming,M,46.0,FATAL,Y,1324,"White shark, 4m",27-Feb-2013,NEW ZEALAND North Island Muriwai,-36.8246083,174.4338612,68.3,0.0,8.0,1022.7,False
1077,Unprovoked,surfing,Not Determined,,Lacerations to right leg,N,1800,reef shark?,21-Feb-2013,"USA Hawaii Ka'anapali, Honokowai, Maui",20.9331214,-156.6831418,21.1,38.4,24.8,1020.3,False
1078,Unprovoked,surfing,M,,"No injury, shark bit rail of foam board",N,1800,reef shark?,21-Feb-2013,"USA Hawaii Paia Bay, Maui",20.9173855,-156.3836273,21.1,7.9,24.8,1020.3,False
1079,Unprovoked,surfing,M,16.0,Lacerations to right hand,N,1400,"Blacktip shark, 4' to 5'",10-Feb-2013,"USA Florida ""Stuart Rocks"", Martin County",27.1898493,-80.1610582,71.4,0.02,13.4,1023.2,False
1080,Unprovoked,diving,M,48.0,Lacerations to right arm & thigh,N,0930,Lemon shark,09-Feb-2013,"FRENCH POLYNESIA Society Islands Tapu, a dive site on the outer reefs of Bora Bora",-16.498969,-151.756896,83.5,0.0,9.0,1011.8,False
1081,Unprovoked,no activity,M,18.0,Knee bitten,N,9999,Not Determined,01-Feb-2013,JAMAICA Kingston Parish Pedro Cays,17.0609667,-77.7821074,79.7,0.0,7.5,1016.3,False
1083,Unprovoked,surfing,M,,Lacerations to neck,N,9999,Not Determined,25-Jan-2013,AUSTRALIA Queensland Noosa,-26.3645433,152.9676695,75.1,3.31,15.0,1007.7,False
1085,Unprovoked,surfing,M,43.0,Left forearm bitten ,N,1630,"Tiger shark, 15'",16-Jan-2013,USA Hawaii Kiholo Bay,19.8594971,-155.9331342,72.6,0.01,5.9,1012.0,False
1086,Unprovoked,spearfishing,M,,Minor cut on finger,N,9999,"Bronze whaler shark, 3m",13-Jan-2013,NEW ZEALAND Mercury Islands Great Mercury Island,-36.6274033,175.8025373,71.0,0.04,7.7,1013.4,False
1087,Unprovoked,spearfishing,M,26.0,Calf & shin bitten ,N,1000,Not Determined,05-Jan-2013,AUSTRALIA Western Australia Near Legendre Island,-20.3853568,116.8763104,88.9,0.0,8.6,1005.2,False
1088,Unprovoked,swimming,M,,Lower leg or ankle bitten,N,1400,Not Determined,31-Dec-2012,"USA Florida Jensen Beach, Martin County ",27.2544906,-80.22976969999999,67.7,0.0,9.7,1025.0,False
1089,Unprovoked,surfing,M,23.0,"No injury, chunk missing from surfboard",N,1245,2.5 m shark,30-Dec-2012,AUSTRALIA New South Wales Between Dee Why and Long Reef,-33.7460834,151.3040716,69.0,0.06,8.5,1019.0,False
1090,Unprovoked,boarding,M,29.0,Lacerations to thigh and hand,N,1045,"Bull shark, 2m ",28-Dec-2012,"AUSTRALIA New South Wales Kylie's Beach, Diamond Head",-31.8143669,152.7349603,73.8,0.13,4.9,1011.0,False
1091,Unprovoked,swimming,M,20.0,FATAL,Y,9999,Tiger shark,25-Dec-2012,SOUTH AFRICA Eastern Cape Province Port St. John's,-31.6287512,29.5368709,70.9,0.24,7.7,1012.4,False
1092,Unprovoked,surfing,M,32.0,No injury,N,0830,"Tiger shark, 6'",19-Dec-2012,AUSTRALIA Western Australia Trigg Beach,-31.8779189,115.7517755,22.3,0.0,18.1,,False
1093,Unprovoked,surfing,M,60.0,Lacerations to left foot,N,1320,10' shark,05-Dec-2012,USA Hawaii Kauai,22.0964396,-159.5261238,23.0,11.4,7.6,1016.7,False
1094,Unprovoked,spearfishing,M,31.0,Minor puncture wounds to knee,N,1645,Sandtiger shark,02-Dec-2012,AUSTRALIA New South Wales Green Island,-35.2721138,150.5160592,66.1,0.0,7.9,1014.3,False
1096,Unprovoked,snorkeling,M,61.0,Lacerations to thigh & lower left leg,N,0940,"Tiger shark, 10'",30-Nov-2012,"USA Hawaii Kihei, Maui",20.7644275,-156.4450063,,0.0,6.5,,False
1098,Unprovoked,swimming,M,32.0,FATAL,Y,1140,2.5 m shark,22-Nov-2012,MEXICO Sinaloa Nuevo Altata,24.6487586,-107.985777,72.9,0.0,2.3,1015.0,False
1099,Unprovoked,surfing,M,14.0,Minor lacerations to left foot & heel,N,1730,2' to 3' shark,19-Nov-2012,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546,14.4,0.0,16.9,1019.4,False
1100,Unprovoked,diving,M,30.0,Right lower leg and foot bitten,N,0830,"Tiger shark, 15'",04-Nov-2012,"USA Hawaii Makena Landing, Maui",20.653797,-156.4410126,23.0,0.0,9.0,1015.4,False
1101,Unprovoked,surfing,M,43.0,"No injury, surfboard bitten",N,0810,"Tiger shark, 8'",04-Nov-2012,"USA Hawaii Davidson's Surf Break, Kekaha, Kaua'i",21.9716899,-159.7304201,25.5,,10.0,1014.5,False
1102,Unprovoked,surfing,M,25.0,Multiple lacerations to torso,N,1200,White shark,30-Oct-2012,"USA California Humboldt Bay, Eureka, Humboldt County",40.7195153,-124.242601,14.3,0.0,11.2,1015.7,False
1103,Unprovoked,swimming,F,51.0,"Puncture wounds to thigh, defense wounds  to hand",N,1556,"Tiger shark, 10' to 12' ",27-Oct-2012,"USA Hawaii Makena Landing, Maui",20.653797,-156.4410126,24.5,0.0,19.4,1017.6,False
1104,Unprovoked,surfing,M,39.0,FATAL,Y,1100,"White shark, 15' to 16' ",23-Oct-2012,"USA California Surf Beach, Lompoc, Santa Barbara County",34.6831139,-120.6064278,11.8,0.0,13.3,,False
1105,Unprovoked,no activity,F,35.0,Left calf bitten,N,9999,Not Determined,19-Oct-2012,"USA Florida Seaport, Brevard County",28.3922182,-80.60771319999999,26.0,0.0,9.4,1010.7,False
1106,Unprovoked,surfing,M,24.0,Minor bite to ankle,N,1030,Not Determined,18-Oct-2012,"USA Florida Ponce Inlet, Volusia County",29.0963729,-80.9369983,24.4,0.0,7.9,1011.0,False
1107,Unprovoked,boarding,M,55.0,"No injury, board bitten",N,0730,6' to 8' shark,18-Oct-2012,"USA Hawaii Kanaha Beach, Maui",20.8996987,-156.4405938,24.1,0.0,16.6,1015.3,False
1110,Unprovoked,windsurfing,M,42.0,"No ijnury to boardrider, shark struck board breaking the mast",N,1500,Not Determined,10-Oct-2012,"USA California Davenport Landing, Santa Cruz County",37.02603089999999,-122.2159035,58.7,0.02,3.2,1014.1,False
1111,Unprovoked,,M,11.0,"No injury, but swim fin bitten & torn",N,1200,2m shark,02-Oct-2012,"AUSTRALIA Western Australia Mullaloo Beach, Perth",-31.7789355,115.7325558,19.4,0.0,20.2,,False
1112,Unprovoked,surfing,M,21.0,Lacerations to left forearm,N,1630,5' shark,25-Sep-2012,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546,24.4,0.0,6.1,1017.9,False
1113,Unprovoked,surfing,M,22.0,Left foot bitten,N,1800,4' shark,24-Sep-2012,"USA Florida Spanish House Beach, Brevard County",28.3268896,-80.6080964,26.5,0.0,15.9,1017.8,False
1114,Unprovoked,surfing,M,52.0,Foot bitten,N,1500,Not Determined,16-Sep-2012,"USA Florida  Cocoa Beach, Brevard  County",28.3200067,-80.6075513,27.9,3.8,15.2,1017.3,False
1115,Unprovoked,swimming,F,29.0,Injuries to thighs & buttocks,N,9999,Possibly a 3 m bull shark,10-Sep-2012,TONGA Vava'u Eueiki Island,-18.764052,-174.019325,78.5,0.0,10.4,1016.1,False
1116,Unprovoked,surfing,Not Determined,19.0,Minor injury to elbow,N,1420,Not Determined,09-Sep-2012,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,25.8,1.0,12.6,,False
1117,Unprovoked,surfing,M,25.0,Right foot bitten,N,1200,Not Determined,08-Sep-2012,"USA Florida Lori Wilson Park, Cocoa Beach, Brevard  County",28.3371416,-80.60948499999999,28.1,0.0,14.0,1013.4,False
1118,Unprovoked,swimming,M,,Lacerations to right calf,N,1800,Not Determined,08-Sep-2012,"USA Florida South Beach, Miami-Dade County",25.7826123,-80.1340772,28.0,40.9,7.6,1014.6,False
1119,Unprovoked,surfing,M,30.0,Right calf bitten,N,9999,Not Determined,06-Sep-2012,"USA Florida Neptune Beach, Duval County",30.311908,-81.39647339999999,27.0,0.0,11.6,1014.8,False
1120,Unprovoked,surfing,M,37.0,Lacerations to foot,N,1130,Not Determined,06-Sep-2012,"USA Florida St. Augustine Beach, St. John's County",29.8439828,-81.2711546,79.3,0.53,6.6,1015.3,False
1121,Unprovoked,surfing,M,32.0,Puncture wounds to hand,N,0756,Not Determined,04-Sep-2012,"USA Florida Melbourne Beach, Brevard County",28.0687742,-80.5595546,26.7,1.8,10.4,1016.3,False
1122,Unprovoked,boarding,F,8.0,Puncture wounds to calf and hand,N,1500,3.5' to 4' shark,02-Sep-2012,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,26.3,0.0,3.6,1018.1,False
1123,Provoked,spearfishing,Not Determined,,Minor laceration to hand  PROVOKED INCIDENT,N,1200,"Tiger shark, 10' to 12' ",02-Sep-2012,"USA Hawaii Spreckelsville, Maui",20.9107182,-156.4051911,24.8,0.3,27.0,1018.2,False
1124,Unprovoked,boarding,F,56.0,Puncture wound to left ankle,N,1630,3.5' to 4' shark,02-Sep-2012,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,26.3,0.0,3.6,1018.1,False
1125,Provoked,fishing,M,53.0,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",N,9999,"Porbeagle shark, 7'",31-Aug-2012,SCOTLAND Inner Hebrides Off the Isle of Islay,56.5,-5.9999999,51.5,0.15,11.8,1025.3,False
1126,Unprovoked,surfing,M,34.0,Lacerations to torso and arm,N,1530,Not Determined,28-Aug-2012,AUSTRALIA Western Australia Red Bluff near Quobba Station,-27.7415649,114.145143,58.5,0.0,7.2,1019.0,False
1127,Unprovoked,swimming,M,18.0,FATAL,Y,1800,Not Determined,26-Aug-2012,"BRAZIL Pernambuco Coral Cove, Cabo de Santo Agostinho",-8.3284942,-34.9530293,24.3,,15.6,,False
1128,Unprovoked,,M,31.0,Lacerations to leg,N,9999,Not Determined,15-Aug-2012,"USA Alabama Gulf Shores, Baldwin County",30.2460361,-87.70081929999999,28.8,,9.8,,False
1130,Unprovoked,,M,56.0,Lacerations to little finger of left hand,N,1600,"Lemon shark, 4' to 5' ",08-Aug-2012,USA Florida Key Largo,25.0865151,-80.4472802,84.8,0.01,8.0,1016.6,False
1132,Unprovoked,spearfishing,M,,Shoulder bitten,N,9999,"Lemon shark, 2.5m to 3m ",04-Aug-2012,FRENCH POLYNESIA Tuamotus Kaukura Atoll,-15.7413788,-146.6738329,,0.0,,,False
1133,Unprovoked,surfing,M,17.0,"No injury, surfer knocked off board when shark struck surfboard",N,0645,Not Determined,31-Jul-2012,"USA California Topanga Beach, Los Angeles County",34.0919452,-118.6021321,23.8,0.0,8.2,1014.3,False
1134,Unprovoked,surfing,M,48.0,Lacerations to torso & arm,N,1440,White shark or bronze whaler,31-Jul-2012,AUSTRALIA South Australia Streaky Bay,-32.7984459,134.2112541,45.8,0.01,8.2,1029.7,False
1136,Unprovoked,surfing,M,50.0,Lacerations to both legs below the knees,N,1530,Thought to involve a white shark,30-Jul-2012,"USA Massachusetts Ballston Beach, Truro, Cape Cod",42.00065910000001,-70.020301,68.7,0.0,6.7,1019.7,False
1141,Unprovoked,surfing,M,24.0,FATAL,Y,0905,"White shark, 5m",14-Jul-2012,AUSTRALIA Western Australia Off Wedge Island,-30.8277891,115.1879896,51.7,0.0,4.6,1026.1,False
1142,Unprovoked,swimming,F,43.0,Lacerations to right ankle and calf,N,1730,Not Determined,08-Jul-2012,"USA North Carolina North Topsail Beach, Onslow County",34.4901665,-77.43163,29.7,0.0,14.2,1014.2,False
1146,Unprovoked,surfing,M,29.0,Lacerattions to left thigh & knee,N,1630,15' shark,06-Jul-2012,"SOUTH AFRICA Western Cape Province Sandstrand, Jongensfontein",-34.4333333,21.3333333,48.4,0.0,3.6,1012.0,False
1148,Unprovoked,swimming,M,6.0,Thigh bitten,N,1900,possibly a bull shark,26-Jun-2012,"USA Florida Juno Beach, Palm Beach County",26.8797819,-80.0533743,29.0,0.5,28.1,1007.1,False
1149,Unprovoked,surfing,M,26.0,Nip to left foot,N,1500,Not Determined,26-Jun-2012,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,26.6,18.0,18.0,,False
1150,Unprovoked,sitting,F,16.0,Laceration to left calf,N,0945,a small reef shark,26-Jun-2012,"USA Hawaii Kahana Beach, Maui",20.9766667,-156.6825,24.9,0.0,26.6,,False
1151,Unprovoked,surfing,M,,"Knocked off board, shark bit nose off surfboard",N,9999,Not Determined,22-Jun-2012,AUSTRALIA Tasmania South Cape Bay,-43.63,146.79,39.7,0.22,10.5,1005.8,False
1152,Unprovoked,swimming,M,12.0,Minor injury,N,1630,Not Determined,22-Jun-2012,"USA Florida Bathtub Reef  Beach, Stuart, Martin County",27.186242,-80.16036,79.7,0.37,6.0,1012.2,False
1153,Unprovoked,,M,62.0,"No injury, ski severely damaged",N,0715,3 m shark,20-Jun-2012,"AUSTRALIA Western Australia Mullaloo Beach, Perth",-31.7789355,115.7325558,9.0,8.2,11.0,,False
1155,Unprovoked,wading,F,6.0,Numerous puncture wounds to leg ,N,1100,Not Determined,18-Jun-2012,"USA North Carolina Ocean Isle, Brunswick County",33.8877282,-78.4364471,22.2,0.0,7.0,,False
1156,Provoked,fishing,M,23.0,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,1420,Nurse shark,15-Jun-2012,"USA Florida Summerland Key, Monroe County",24.6613356,-81.4448502,82.9,0.0,5.1,1015.1,False
1157,Unprovoked,swimming,F,18.0,Foot & hand bitten,N,1800,small blacktip shark?,14-Jun-2012,"USA South Carolina Myrtle Beach, Horry County",33.6890603,-78.8866943,23.8,2.1,12.6,1016.9,False
1158,Unprovoked,swimming,M,,Minor injury,N,1800,Shark involvement not confirmed,14-Jun-2012,"USA South Carolina Myrtle Beach, Horry County",33.6890603,-78.8866943,23.8,2.1,12.6,1016.9,False
1159,Unprovoked,swimming,M,,Calf bitten,N,1800,small blacktip shark?,14-Jun-2012,"USA South Carolina Myrtle Beach, Horry County",33.6890603,-78.8866943,23.8,2.1,12.6,1016.9,False
1160,Unprovoked,swimming,M,16.0,Laceration to right foot,N,1320,Blacktip shark ,14-Jun-2012,"USA South Carolina Myrtle Beach, Horry County",33.6890603,-78.8866943,23.8,2.1,12.6,1016.9,False
1161,Unprovoked,surfing,M,42.0,Laceration to right foot,N,0800,1.5 m shark,12-Jun-2012,AUSTRALIA Victoria Port Campbell,-38.6191008,142.9961352,48.3,0.0,8.1,1020.2,False
1163,Unprovoked,,M,30.0,"No injury, ski bitten",N,1430,"White shark, 2 m",03-Jun-2012,"AUSTRALIA New South Wales Redhead Beach, Newcastle",-33.0204805,151.7091512,59.4,0.82,4.8,1012.4,False
1164,Unprovoked,surfing,F,12.0,Laceration to thigh,N,9999,Not Determined,02-Jun-2012,"USA Florida Bethune Beach, Volusia County",28.9491539,-80.83783000000001,26.8,0.0,14.8,1012.4,False
1165,Unprovoked,boarding,M,25.0,Severe laceration to foot,N,1945,Not Determined,02-Jun-2012,"USA South Carolina Myrtle Beach, Horry County",33.6890603,-78.8866943,23.6,0.0,9.6,,False
1166,Unprovoked,wading,F,33.0,Foot bitten,N,1330,"18"" to 24"" shark",31-May-2012,"USA North Carolina Avon, Hatteras Island, Outer Banks, Dare County",35.3521855,-75.51084449999999,25.3,0.0,14.0,1010.7,False
1167,Unprovoked,diving,M,46.0,Left hand severed,N,0900,"Bull shark, 3m",29-May-2012,"MEXICO Guerrero  Boca de la Leña, La Unión",17.9743156,-101.9900894,82.5,0.0,8.4,1009.1,False
1168,Unprovoked,surfing,M,22.0,Lacerations to foot,N,1500,4' to 5' shark,23-May-2012,"USA Florida Jacksonville, Duval County",30.3321838,-81.65565099999999,25.6,0.0,10.4,1012.0,False
1172,Unprovoked,swimming,F,47.0,Upper left thigh bitten,N,1130,Not Determined,09-May-2012,"USA Florida Vero Beach, Indian River County",27.6399823,-80.39815159999999,24.7,0.3,10.5,1011.2,False
1173,Unprovoked,boarding,F,15.0,"No injury, shark bit paddleboard",N,0720,White shark,06-May-2012,USA California Off Catalina Island,33.3878856,-118.4163103,15.2,0.0,5.8,,False
1174,Unprovoked,surfing,M,28.0,Lacerations to hand,N,1930,5' shark,19-Apr-2012,"USA Florida Indialantic, Brevard County",28.0894599,-80.5656079,23.9,6.9,15.8,1014.6,False
1175,Unprovoked,boarding,M,20.0,FATAL,Y,1230,"White shark, 4 m to 5m ",19-Apr-2012,SOUTH AFRICA Western Cape Province Caves near Kogel Bay,-34.23434080000001,18.8490465,64.2,0.01,11.9,1017.4,False
1177,Unprovoked,surfing,M,28.0,Lacerations to left foot,N,1238,"Tiger shark, 10'  ",03-Apr-2012,"USA Hawaii Leftovers near Chun's Reef, Oahu",21.6269444,-158.0838889,72.0,0.0,5.8,1016.5,False
1179,Unprovoked,diving,M,33.0,FATAL,Y,0930,"White shark, 4m ",31-Mar-2012,AUSTRALIA Western Australia Stratham Beach,-33.4665674,115.5602443,61.1,0.01,8.0,1017.0,False
1180,Unprovoked,surfing,M,21.0,Minor lacerations to foot,N,1400,Not Determined,24-Mar-2012,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,23.5,1.0,11.5,1015.0,False
1182,Unprovoked,surfing,M,20.0,Lacerations to left calf,N,1700,Possibly a bull shark,20-Mar-2012,AUSTRALIA Queensland Nobby's Beach,-28.0534335,153.4410418,23.4,9.0,19.8,,False
1183,Unprovoked,surfing,M,61.0,Left forearm bitten,N,1550,Possibly a 5' to 6' bull shark,15-Mar-2012,"USA Florida Jensen Beach, Martin County ",27.2544906,-80.22976969999999,22.3,,14.4,,False
1184,Unprovoked,surfing,F,15.0,Bitten on ankle,N,1600,4' to 5' shark,14-Mar-2012,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,20.3,0.0,5.8,1023.6,False
1185,Unprovoked,surfing,M,17.0,Bitten on calf,N,1605,4' to 5' shark,14-Mar-2012,"USA Florida New Smyrna Beach, Volusia County",29.0258191,-80.9269984,20.3,0.0,5.8,1023.6,False
1186,Unprovoked,surfing,M,,Lacerations to left calf,N,1900,Not Determined,06-Mar-2012,"NEW ZEALAND North Island Opunake, Taranake",-39.4589862,173.8678942,57.7,0.0,5.5,1022.5,False
1187,Provoked,,F,34.0,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,1130,"Tawny nurse shark, 40cm",06-Mar-2012,"AUSTRALIA Victoria Shipwreck Cove, Melbourne Aquarium",-37.820627,144.95822,61.7,0.06,13.2,1022.8,False
1188,Unprovoked,boarding,M,31.0,"No injury, board bitten",N,1430,Not Determined,05-Mar-2012,REUNION Saint-Benoit Port de la Marine,-21.0354011,55.7204767,25.8,0.0,19.8,1010.2,False
1189,Unprovoked,,M,19.0,Lacerations to left calf,N,1300,4' shark,04-Mar-2012,"USA Florida Playalinda Beach, Brevard County",28.6555177,-80.6318287,18.7,,23.6,1014.2,False
1191,Provoked,fishing,M,,Hand injured PROVOKED INCIDENT,N,9999,Not Determined,01-Mar-2012,CHILE Antofagasta Province Antofagasta,-23.6509279,-70.39750219999999,19.0,0.0,11.4,,False
1192,Provoked,,M,,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,1400,Spinner shark,26-Feb-2012,"USA Florida Palm Beach Inlet, Palm Beach County",26.772285,-80.037263,22.2,0.0,23.4,1023.5,False
1193,Unprovoked,fishing,M,,Laceration to left foot,N,1600,Grey nurse shark,25-Feb-2012,AUSTRALIA New South Wales Broughton Island,-32.6157855,152.3139827,71.6,0.04,8.9,1022.4,False
1195,Unprovoked,surfing,M,29.0,"No injury, but fin lost from surfboard",N,1200,Not Determined,06-Feb-2012,AUSTRALIA Queensland Wurtulla,-26.7593814,153.1251836,78.0,0.0,5.8,1000.7,False
1196,Unprovoked,snorkeling,Not Determined,,"No injury, shark bit swim fin",N,1105,6' to 8' shark,27-Jan-2012,USA Hawaii Lanai,20.8165975,-156.9273193,20.6,,9.8,1015.6,False
